Time(min),P66,P51,J23108,J23102,P66std,P51std,J23108std,J23102std
0,793.4041253,2443.600348,339.6817014,1129.792305,9.864046252,10.46621867,2.313659506,32.51676182
10,824.1177997,2374.269695,386.0229662,1176.515922,7.916154577,12.25735147,2.936500098,36.61406579
20,888.1874249,2445.674463,448.2702726,1271.902533,8.286637142,5.156355476,1.406576579,35.04243321
30,918.3077096,2410.068743,488.4507948,1347.28852,8.358062844,7.37204768,4.18824449,36.4228896
40,945.5187539,2342.779502,521.4960176,1421.442141,9.064196473,31.84519844,4.376118783,35.46303208
50,960.1946722,2327.45001,568.2599045,1490.07407,9.345212237,21.98356249,2.65338855,40.06487088
60,967.4937096,2306.384462,601.706899,1534.067017,8.036808225,34.1195994,2.86511032,25.37680509
70,1004.048949,2308.956168,614.389569,1585.479915,8.828890597,44.19237607,6.161768933,37.38370898
80,1022.204384,2299.6097,615.0900135,1612.902938,10.17249121,41.63715955,6.841733031,38.42046854
90,1018.89615,2275.084485,603.5879624,1660.898387,14.45026401,41.47417194,6.7680612,12.73655885
100,1000.591511,2237.156692,582.6217836,1763.78058,13.34230417,50.97549852,7.520554453,3.160609948
110,976.534417,2199.204921,564.8819565,1867.406101,10.02780547,30.69701235,2.76014362,3.004138021
120,948.8135527,2143.891703,549.7776983,1922.109052,10.07443483,15.56981136,3.809746073,2.734808164
130,927.0862975,2078.34205,543.903602,1946.626271,8.411918979,9.001489399,3.527360209,5.343084841
140,913.471918,2023.406284,536.1289366,1942.062312,7.506684014,14.61424194,2.956436686,10.55307287
150,902.2667927,1966.979872,527.6108532,1927.688379,8.067462794,11.9973971,3.748248542,9.152687747
160,898.4792911,1929.421604,519.4480718,1923.816824,8.901706502,13.12088356,5.704734016,1.935117721
170,891.1192332,1872.911596,510.795617,1944.848885,11.91533702,6.779098202,4.221622091,4.332856194
180,885.056804,1844.250856,506.1039557,1977.898765,12.32107314,4.538965576,5.746221515,3.992545805
190,884.3193798,1819.203707,501.7664412,2018.727038,15.44905288,6.315626852,6.201366895,8.047558615
200,884.5318452,1799.976945,498.6473626,2055.483695,16.83611525,6.874963375,6.841818831,10.76548573
210,889.0892373,1797.380857,497.9496862,2101.705744,18.92927594,8.384601472,9.246419442,10.97609877
220,911.9632602,1804.845437,501.7291793,2159.858217,26.38689333,8.66602849,11.76440188,10.98983574
230,953.8774801,1814.546931,506.3929687,2237.380612,32.81196743,10.07423016,12.53369323,11.03735117
240,1014.58508,1845.171571,515.2240403,2361.415149,39.40541041,11.65127113,14.68017605,10.0028226
