Time(min),Input=0,Input=1,Input0std,Input1std
0,95081.97474,91211.52829,1369.59723,3192.237104
10,94306.00119,91050.03837,529.0016504,1659.305972
20,93154.74378,91322.66195,519.1491041,1922.176261
30,93081.67142,90204.5485,1558.416422,2313.032795
40,93816.59748,90579.33432,1832.699742,1961.94628
50,93332.32114,90470.92234,281.1128635,1041.87713
60,93860.46498,89698.36855,724.0705915,951.1625873
70,94774.23826,88168.52474,196.1273493,1109.349984
80,95510.37769,87609.2878,786.5185742,1200.3474
90,96881.60999,86775.93882,787.9321471,1251.855022
100,98718.05689,85164.80469,1536.575811,1313.980872
110,100012.8889,82481.05788,961.4065827,925.8416996
120,102009.583,81535.75862,1140.960623,1358.035535
130,103898.3346,78653.40322,1411.031115,1421.728561
140,105324.721,76010.7203,703.2366092,1205.781698
150,107475.9623,72243.00474,1156.019692,1094.170917
160,108881.1181,69447.37214,602.1445741,1163.276577
170,110025.7861,65348.78803,1493.694031,1139.585778
180,111119.612,62002.67021,1046.628977,710.6877511
190,111869.89,58149.17759,1503.6055,322.3688585
200,112164.8157,55151.76919,1853.983943,642.5335992
210,113125.1465,52516.47097,1869.890284,326.6287082
220,113575.6128,49966.58104,1927.634294,728.2535113
230,114562.8952,47264.58873,2257.530313,778.4692131
240,114320.5178,44935.24254,2261.228351,806.1685513
250,114377.9421,42322.34285,2666.943172,535.5941382
260,114326.4419,40262.9667,2529.954098,624.7059505
270,113954.0433,38286.25524,2451.825954,585.8263149
280,113260.5026,36449.46567,2167.252252,478.6677508
290,112244.192,35010.34355,2235.198574,513.3929394
300,111997.4464,33442.85284,1945.347043,560.1951454
310,111303.1845,32166.43141,2084.528458,450.3685737
320,110693.023,30874.08685,1812.184839,555.163532
330,110224.8693,29460.30918,2228.22559,566.3576033
340,109719.2745,28342.18862,2318.848721,680.5461353
350,109209.4501,27066.84851,2105.258512,641.4306148
360,109264.926,25997.8247,2153.759644,625.2432331
370,109770.7833,25136.85654,2209.105717,673.5280924
380,109605.061,24071.06804,2234.529617,409.5876016
390,109591.5807,23215.16117,2086.301188,435.9904859
400,109810.4276,22454.48202,1480.930388,490.3345693
410,109464.1993,21943.00131,1609.016627,536.848025
420,109428.894,21463.75006,1830.78048,503.4974825
430,109929.5153,21188.06433,1569.178145,520.6010718
440,109594.0854,20882.15608,1716.076767,670.719923
450,109840.4952,20625.53494,1934.98729,539.5257665
460,109697.7633,20341.73784,1921.105134,696.172462
470,110273.4252,20220.01774,1870.059882,635.1628844
480,110230.9043,20079.58061,1991.989194,573.0621324
490,109964.0057,19892.67275,1795.302967,552.9969801
500,109763.8997,19732.81362,2090.277413,524.5915751
510,110413.2317,19747.71017,2128.236074,497.5580441
520,110531.1974,19768.76885,2204.230392,518.3442568
530,110875.6917,19711.99236,2247.539874,536.4774616
540,111469.0075,19687.63786,2455.10917,508.8284269
550,111575.075,19526.74322,1678.853606,468.1138219
560,111714.8302,19417.5943,1917.751745,405.1956183
570,112840.7557,19428.80759,2162.15823,360.0834405
580,113653.9272,19430.28757,2294.888601,372.0256883
590,114282.9696,19388.3309,1914.821661,330.291187
600,114852.6397,19226.42441,1924.455133,329.1034098
610,115333.7223,19231.51345,1540.128946,348.5887263
620,115682.9615,19067.09433,2150.184121,274.1834488
630,116645.4996,19117.94445,1663.376052,301.526314
640,117104.3405,19079.90255,1816.627803,319.9454506
650,117573.4048,19019.81596,1837.062254,241.763788
660,118262.1757,18888.77761,1791.028077,234.4812991
670,119128.3531,18976.36692,1643.281458,298.2235157
680,120356.0117,19080.5513,1702.482776,275.8584197
690,121226.9484,19002.6227,1953.272197,282.8319869
700,121597.3968,18967.06706,1787.856505,259.4576854
710,122392.938,19015.2764,1511.341397,246.9988265
720,122646.7576,19015.72629,1890.301994,254.8024474
