Time(min),0.1250%,0.0625%,0.0313%,0.0156%,0.0078%,0.0039%,0.0020%,0.0010%,0.0000%,0.125%std,0.0625%std,0.03125%std,0.01563%std,0.00781std,0.00391std,0.00195%std,0.00098%std,0%std
0,27.59477097,22.55970886,23.91481362,26.60526613,25.50572171,34.21402916,24.08985878,33.93662838,24.56543277,2.962316885,5.863280261,7.096695777,5.954863955,2.863217825,11.09499064,6.370970506,1.451178853,2.50505011
10,35.62949068,33.55518906,28.80787765,27.87137366,28.34344012,31.20062463,23.65252015,34.06689742,25.09609315,9.568997469,0.322884957,9.197267401,4.708114182,3.74331908,7.335466648,5.31981282,1.317360576,2.71064014
20,69.56016506,57.14021449,43.87688043,38.63086387,29.85433569,29.81355787,22.50326143,26.47797249,22.13242316,13.97595837,11.07401479,8.643245885,6.649644575,5.773838704,9.969546213,2.333331357,5.69615224,2.581827408
30,162.1974241,127.5278777,93.03068496,69.71074006,48.67283996,37.55032635,25.15560407,26.69219009,19.85452356,27.35657455,22.56460349,16.50681275,13.36462617,10.12064369,13.50402281,2.56911438,1.003066121,1.602250202
40,302.0339231,239.8071269,180.6933697,126.1931076,79.67726222,52.92510628,28.66026111,24.63490106,20.60536696,46.71979466,40.3413282,26.82482807,20.52170873,9.642599555,8.61893411,5.308357524,2.50600946,2.553740041
50,485.8443155,395.5596067,300.7902541,210.2364707,126.7233653,76.41285367,35.09318576,26.46132036,16.19525713,57.39948823,50.01254064,39.95316175,31.56050665,16.35005748,9.827706005,3.7895923,5.286470246,1.235869687
60,685.8187059,572.2312174,441.4452149,305.8692038,181.1294356,102.7456742,41.73439606,28.03575419,15.35404486,71.28648523,59.48433125,41.98883966,34.17428861,21.56355898,18.98298777,5.038741757,3.663005732,1.366118684
70,888.7640052,753.0005271,591.5833383,413.2538195,244.0498733,136.7869707,54.22655872,29.67224088,15.23022745,78.80327678,64.76576658,55.72851722,45.12622986,21.02844881,19.14032046,4.379933613,1.901005177,1.03247487
80,1085.508428,935.5087359,748.3810519,529.975686,326.2494878,182.2103446,69.73600615,36.17173116,16.11524064,75.55770427,66.17849318,57.65700731,50.78266463,25.99333855,27.07107713,7.351197026,2.527552494,1.795508221
90,1258.146326,1117.842693,910.9670086,659.7759455,400.9412005,220.3236538,80.39061047,38.03905362,13.13829424,94.79005833,76.53161897,74.68878165,56.85507082,31.87791726,21.33731595,6.08919199,3.592682733,1.91299381
100,1485.846987,1334.049519,1093.518193,779.4631768,460.6503009,252.3593219,93.96226541,42.05652516,13.12059692,102.0933777,78.68588137,71.56372506,53.17158691,26.36299573,31.17236833,6.975086407,2.5897726,0.700081046
110,1687.0765,1518.67365,1230.820828,861.2853852,511.4432067,284.6447388,106.4224711,47.08271303,11.27738127,94.94382305,75.66161183,73.76796061,50.73459815,34.98582602,25.81949292,7.172345443,3.178813396,2.095102841
120,1838.552816,1642.045837,1327.213885,920.6498073,558.785014,324.1858232,122.0079105,52.66030534,10.6711194,72.73023938,75.65771005,77.6565052,50.88900048,30.6443286,34.63114091,7.974093338,4.048383,1.387922462
130,1962.586813,1721.198933,1399.812076,989.5612201,623.8598416,369.3095858,140.8483936,58.81219421,10.42728169,95.56492359,63.93329963,71.13869986,53.06658455,31.72036722,37.34400912,9.510775729,3.483930041,1.038570122
140,2011.428439,1785.26741,1473.438617,1070.299343,698.3008652,430.6268737,163.0684222,68.95320865,10.57263846,68.36674531,63.73734854,65.64990214,49.23795623,36.30239476,41.97181356,11.35220416,4.437215977,0.49537202
150,2062.949354,1844.853503,1553.065575,1155.770846,771.0344489,490.5275681,185.3271636,76.80579202,12.00605518,65.65907117,65.21498165,68.64090313,45.62220256,38.28437507,49.03514522,11.40242312,5.603001876,1.291119726
160,2123.0896,1928.497145,1645.250289,1249.013819,846.0493688,545.4769874,207.8523446,85.11570362,11.28561595,74.31170051,61.64412852,76.10825522,45.93496216,44.2027973,51.18104137,12.60561638,5.296243729,0.660020625
170,2190.559316,2026.839921,1743.34269,1340.713124,921.8662877,606.7497099,230.6532956,94.91229952,11.51957533,86.88737757,67.88868668,76.25961226,48.09762483,44.8285619,60.96539798,15.05798625,7.66858267,0.828731261
180,2295.200686,2129.034948,1847.6214,1431.145546,998.4088303,675.0620821,258.8884804,105.5185769,11.29533909,107.2973974,68.07182423,79.68144554,60.0234901,47.95257172,68.93133207,15.92093106,7.207086747,1.507229824
190,2385.394534,2229.569699,1948.323366,1524.220657,1093.46023,749.3031346,291.8310275,119.7128944,11.75784467,105.7063788,66.0482079,83.50616005,55.34007606,60.26251114,73.55225466,18.99806173,8.327376848,1.018617599
200,2477.923283,2324.377366,2050.391881,1635.251393,1190.649165,820.3731952,325.2869115,134.8061579,13.19631188,91.63970381,67.22714098,86.58372407,52.60527867,67.57522062,74.73260642,21.05580727,9.558418981,0.931339266
210,2575.905309,2420.556599,2146.791306,1755.38318,1283.001827,877.6273044,356.0883439,148.150146,13.78126861,117.2035338,67.62189899,86.15002603,70.09551279,65.87080899,79.35616352,20.69728539,9.449072325,1.065671587
220,2654.676288,2512.079112,2261.976914,1867.708757,1371.608841,928.7820004,385.3201988,162.7698249,14.01295621,104.7234396,69.45178498,100.9361746,72.12761595,68.23202185,82.1514842,23.26902255,10.36914482,1.340799387
